Algoritmo,Tamanho,Tempo(ns),Operacoes
Codigo1,500000,2203600,250000
Codigo1,1000000,465100,500000
Codigo1,2000000,612700,1000000
Codigo1,3000000,810100,1500000
Codigo1,5000000,1371400,2500000
Codigo1,10000000,3438700,5000000
Codigo2,500000,2042100,1000006
Codigo2,1000000,670400,2000006
Codigo2,2000000,114000,4000006
Codigo2,3000000,163600,6000005
Codigo2,5000000,288300,10000008
Codigo2,10000000,545500,20000008
Codigo3,12500,72086300,78131249
Codigo3,25000,293830100,312512499
Codigo3,50000,541726000,1250024999
Codigo3,100000,4228740500,705082703
Codigo3,200000,16424829900,-1474736481
Codigo4,3,7700,3
Codigo4,6,900,15
Codigo4,12,20300,287
Codigo4,24,441400,92735
Codigo4,48,11271936600,1025119359
